"","Sexo","Escolaridad","Num_Pers_Hogar","Sala_Mens_Antes","Sala_Mens_Desp","Index_Dep5T"
"1",1,4,3,4,4,19
"2",1,4,3,2,2,16
"3",1,7,4,2,2,9
"4",1,4,2,5,3,2
"5",2,4,5,6,6,17
"6",2,5,2,2,7,8
"7",1,3,5,7,7,15
"8",1,3,2,6,6,1
"9",1,4,2,6,6,2
"10",1,4,1,4,4,8
"11",1,2,3,6,6,8
"12",1,4,4,4,4,7
"13",1,4,3,2,2,2
"14",1,5,3,7,7,8
"15",1,4,3,5,5,20
"16",1,4,3,2,2,8
"17",2,4,2,3,4,17
"18",2,4,4,7,7,10
"19",2,2,2,3,3,5
"20",2,2,1,1,1,14
"21",2,4,2,2,2,18
"22",2,4,4,6,6,14
"23",2,NA,3,3,3,2
"24",1,4,2,7,7,15
"25",2,4,5,1,NA,2
"26",1,4,2,3,NA,1
"27",1,2,3,5,5,11
"28",2,2,5,2,2,11
"29",2,5,3,7,7,10
"30",2,2,6,7,7,14
"31",1,2,2,1,1,8
"32",1,4,5,NA,NA,9
"33",1,3,5,6,6,8
"34",1,5,3,3,4,1
"35",2,1,3,3,3,19
"36",2,2,7,1,1,18
"37",1,4,1,5,5,3
"38",1,4,5,NA,NA,1
"39",2,3,4,6,6,14
"40",1,4,4,6,7,9
"41",1,2,2,1,1,8
"42",2,3,2,1,1,8
"43",2,4,1,7,7,8
"44",2,1,6,1,1,28
"45",1,2,1,3,NA,10
"46",1,3,3,1,1,9
"47",1,3,2,NA,6,11
"48",2,2,2,2,2,2
"49",1,2,4,NA,NA,27
"50",2,1,4,1,1,14
"51",2,2,3,7,7,13
"52",2,5,3,1,7,16
"53",1,4,3,7,4,16
"54",2,6,3,7,4,14
"55",1,4,3,7,7,17
"56",1,4,3,5,5,20
"57",2,4,3,7,7,11
"58",1,6,2,1,7,10
"59",2,4,2,7,7,14
"60",1,2,1,1,1,21
"61",2,4,2,5,3,8
"62",2,5,1,6,3,4
"63",1,6,6,7,7,1
"64",1,4,2,6,2,18
"65",2,4,6,7,7,15
"66",1,5,2,1,5,8
"67",2,4,5,7,7,2
"68",1,4,2,3,5,13
"69",2,6,NA,6,6,8
"70",1,3,NA,6,6,13
"71",1,6,4,7,7,11
