Cultivar,Anthrac,Rust,GrainM,Seedwt,%Germ,Pani Hght,Pani Length,Grain Yld,Julian days
PI665166,2,1,2,3.17,70,185,17,28.934,127
PI665165,4,1,2,4.02,88,270,20,54.174,127
PI661148,5,3,3,2.78,70,145,15,30.352,109
PI660638,2,1,,,,220,20,12.202,118
PI660637,5,1,2,3.22,81,218,18,26.511,128
PI644717,2,5,3,2.17,5,220,15,,
PI644502,4,3,4,1.52,49,200,30,3.844,127
PI576431,2,3,2,1.76,64,125,25,17.377,109
PI576381,2,1,4,2.4,64,60,10,8.621,109
PI576380,3,1,2,3.33,28,72,12,14.988,109
PI576379,2,1,2,1.52,63,82,20,6.336,109
PI576377,2,1,3,1.58,34,90,15,1.992,109
PI576376,2,5,3,2.38,35,60,10,8.382,109
PI576375,2,6,4,2.26,31,165,20,5.895,128
PI576344,2,1,5,2.03,68,90,10,13.535,109
PI564780,2,2,,,,260,25,10.755,142
PI564779,2,4,4,1.82,15,135,40,28.492,127
PI564778,2,4,,,,280,30,13.643,142
PI564777,3,3,,,,270,30,,
PI564776,2,1,,1.56,20,230,30,2.136,128
PI534157,4,1,3,1.68,56,80,30,17.586,109
PI534152,2,3,4,1.75,22,135,35,9.151,109
PI534151,2,2,3,1.92,43,88,30,9.443,109
PI534146,5,1,3,1.44,18,110,20,13.859,109
PI534131,2,1,2,1.83,33,70,20,8.453,109
PI534121,2,1,4,1.31,31,110,10,9.922,109
PI534116,2,1,2,1.31,89,100,20,7.355,109
PI534115,4,1,3,2.61,28,85,15,5.65,109
PI533918,2,1,2,3.04,75,85,10,8.742,109
PI533903,2,1,4,1.4,26,125,30,8.27,109
PI330821,2,1,,,,,,,
PI330819,4,3,3,1.31,14,85,15,8.926,109
PI330764,2,3,,,,,,,
PI330288,5,3,,,,120,15,10.122,142
PI330261,2,2,4,2.17,62.86,160,30,6.448,127
PI330255,2,6,3,1.58,30,70,10,,
PI330230,2,5,,,,185,20,10.233,109
PI330004,2,2,,,,,,,
PI330000,3,1,,,,,,,
PI329968,2,3,,,,,,33.672,128
PI329697,2,1,,,,,,,
PI329346,,,,,,,,,
PI329313,,,,,,,,5.637,127
PI276832,,,,,,,,,
PI276822,,,,,,,,,
PI267655,2,1,,,,,,43.987,148
PI267624,3,3,2,2.94,83,115,10,15.785,109
PI267618,5,3,2,1.5,16,165,20,35.493,109
PI267606,2,1,3,2.79,70,120,20,10.557,109
PI267588,4,6,3,2.05,22,230,20,12.559,128
PI267565,2,1,3,1.52,84,230,20,6.129,127
PI267557,2,2,,,,220,30,4.162,128
PI257601,2,1,3,1.95,27.69,220,25,,
PI251637,2,3,2,1.72,81,130,15,19.936,109
PI197462,3,1,3,2.92,80,175,30,9.756,109
PI194355,2,5,4,1.61,,85,10,4.417,109
PI148101,4,1,3,1.32,23,280,20,9.291,142
PI148086,3,2,,,,,,,
PI147833,3,1,,,,,,,
PI663869,2,2,,,,,,,
PI330271,,,,,,,,,
PI533923,2,5,3,3.3,44,140,20,24.533,109
PI533920,3,3,5,1.63,27,60,10,5.382,128
PI533828,2,4,4,1.95,16,145,10,10.363,109
PI533800,4,1,3,1.69,60,95,10,12.197,109
PI533799,2,1,3,3.19,39,80,20,26.6,109
PI533792,2,2,3,2.07,30,115,15,,
PI534001,2,1,2,2.7,74,100,22,16.609,127
PI514502,2,2,,,,,,,
PI514496,2,1,,,,,,,
PI514485,2,2,,,,,,,
PI514484,2,4,,,,,,,
PI514474,2,2,,,,,,,
PI514472,2,4,,,,,,,
PI514471,2,3,,,,,,,
PI514470,2,2,,,,,,,
PI514467,2,2,,,,,,,
PI514460,2,4,,,,,,,
PI514457,2,4,,,,,,,
PI514456,2,1,,,,,,,
PI514455,2,2,,,,,,,
PI514454,2,3,,,,,,,
PI514453,2,2,,,,,,,
PI514440,2,1,,,,,,17.901,109
PI514437,2,3,2,1.31,91.25,,,,
